forks,watchers,contributors,commits,branches,open_issues,closed_issues,open_prs,closed_prs,size,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,stargazers
696,289,26,235,1,0,56,0,35,278,,True,True,True,True,True,9688
779,158,183,256,3,8,262,8,262,291,,False,False,True,False,False,9684
316,128,13,406,7,31,165,4,72,1917,TypeScript,True,True,True,True,False,9684
689,143,150,1271,17,71,1257,4,751,146133,TypeScript,True,True,True,False,False,9684
1380,171,106,830,32,667,1323,133,438,40925,JavaScript,True,True,True,True,True,9684
638,159,19,587,16,8,653,0,72,1807,TypeScript,True,False,True,False,False,9684
513,125,44,1057,4,222,905,28,171,5368,Nim,True,False,True,True,False,9680
1400,215,69,962,8,14,658,2,313,16669,TypeScript,True,True,True,True,True,9679
2806,168,332,37951,19,2435,19278,270,15170,248791,Java,True,False,True,True,False,9678
257,52,39,194,3,116,265,20,197,3828,Java,True,False,True,True,False,9675
3557,643,5,271,1,49,28,30,16,41665,Go,True,True,True,True,False,9674
924,271,31,180,3,37,95,5,47,6126,C,True,True,True,True,False,9674
321,68,48,4003,2,175,1950,1,812,785763,C#,True,True,True,True,False,9673
302,99,78,2063,4,43,756,9,330,4108,PHP,True,False,True,True,False,9670
257,46,345,4079,32,0,85,0,85,6432,PHP,False,False,False,False,False,9664
1542,156,1,3,1,185,112,1,12,54746,Java,True,True,True,False,False,9663
9535,156,105,20030,10,6,2236,1,1440,238899,TypeScript,True,False,True,False,True,9661
1624,606,14,206,1,53,66,17,44,758,Shell,True,True,True,True,False,9659
1266,69,6,144,14,18,96,4,34,22710,TypeScript,True,True,True,True,False,9658
2048,409,12,383,4,179,110,4,21,13780,Java,True,True,True,True,True,9656
2682,500,16,74,1,16,88,13,64,232,Swift,True,True,True,True,False,9655
594,74,36,1612,22,421,670,2,60,80957,TypeScript,True,True,True,True,True,9655
1081,212,263,5118,1,67,5423,5,2651,39134,Python,True,False,True,False,False,9650
637,169,42,3867,271,155,1100,33,719,128108,TypeScript,True,False,True,False,False,9650
323,131,10,78,2,42,97,18,27,444,JavaScript,True,True,True,True,False,9648
1124,123,84,961,5,29,986,2,290,28315,C++,True,True,False,False,False,9646
715,52,35,542,1,247,454,7,86,3284,JavaScript,True,True,True,True,False,9643
963,70,12,902,19,308,892,10,123,4973,TypeScript,True,False,True,True,False,9643
1979,256,20,115,1,144,132,3,37,649,Java,True,True,True,True,False,9641
1148,246,73,2213,6,46,545,7,148,134501,C++,True,False,True,False,True,9641
630,230,11,615,3,17,135,12,46,77796,,True,True,True,False,False,9639
805,115,3,84,1,12,70,1,2,138737,Jupyter Notebook,True,True,True,True,False,9638
746,172,31,403,1,20,418,0,95,8964,TypeScript,True,False,True,False,False,9634
3510,172,341,1699,30,144,3333,71,1025,17586,Java,True,True,True,True,True,9633
854,105,260,1336,9,40,2140,19,1453,6724,Python,True,False,True,False,True,9626
2828,280,365,15347,20,2782,6469,175,3710,55698,Python,True,True,True,True,False,9625
2143,453,8,46,1,9,21,2,13,201,,True,True,True,True,False,9625
790,331,128,610,4,93,295,72,276,552,,True,False,True,False,True,9624
771,292,29,388,2,212,53,0,53,1173,C#,False,False,True,False,True,9622
793,98,263,3702,58,174,1703,19,508,5219,Go,True,True,True,True,False,9621
202,34,64,2613,25,66,2406,9,1396,31287,TypeScript,True,True,True,True,True,9620
1559,402,123,1067,11,261,1023,57,472,2503,Java,True,True,True,True,False,9619
1429,136,8,263,6,877,393,8,53,738,JavaScript,True,True,True,True,False,9619
360,516,31,109,1,46,67,46,67,146,,False,False,True,False,False,9615
687,304,127,1188,2,2,213,1,200,23691,,True,False,True,False,True,9615
655,96,74,9141,7,49,1301,5,276,103449,CSS,True,True,True,True,True,9614
2413,457,119,613,9,577,602,22,239,1589,Python,True,True,True,True,False,9612
926,152,46,555,4,349,441,161,251,1103,JavaScript,True,True,True,True,True,9612
1496,43,31,217,7,133,335,17,64,112871,Python,True,True,True,True,False,9610
1271,221,101,6423,255,176,4346,33,2563,15468,Go,True,False,True,True,False,9610
1302,387,386,7544,94,754,6812,87,5896,30571,Swift,True,False,True,False,False,9608
444,52,107,796,4,81,1189,11,498,3273,Rust,True,True,True,False,True,9606
702,111,306,10456,7,875,4306,144,2246,42735,C++,True,True,True,True,True,9604
303,195,19,131,3,62,123,4,51,184,,True,False,True,False,False,9603
996,250,81,2607,26,80,2324,18,1232,176727,JavaScript,True,False,True,False,False,9601
1506,96,23,188,1,316,117,31,83,856,,True,True,True,True,False,9600
310,101,45,332,2,28,168,7,98,307,Shell,True,True,True,True,False,9599
946,176,8,396,18,196,313,31,32,2524,JavaScript,True,True,True,True,False,9599
700,110,58,1452,3,99,570,7,159,87620,JavaScript,True,False,True,False,False,9598
1900,805,22,130,1,19,28,3,21,209,,True,True,True,True,False,9597
2664,439,8,182,4,172,174,22,28,3474,Java,True,True,True,True,False,9592
983,300,77,1850,23,342,793,6,215,72243,JavaScript,True,True,True,True,True,9591
403,116,113,13013,6,245,3138,3,1173,52593,Common Lisp,True,False,True,False,False,9591
368,112,9,627,3,7,384,0,21,5064783,JavaScript,True,True,True,True,False,9590
337,124,16,40,2,36,23,6,23,494,JavaScript,False,False,True,False,False,9590
4482,304,350,15466,19,1068,14629,43,3129,153196,CSS,True,True,True,True,False,9589
1573,219,80,799,2,101,1501,0,426,8435,Go,True,True,True,False,False,9588
480,107,5,85,2,38,63,1,20,6695,SCSS,True,True,True,True,False,9587
1683,113,26,618,4,25,278,2,177,4527,JavaScript,True,False,True,False,True,9586
2247,404,21,129,2,0,101,0,37,953,JavaScript,True,True,True,True,False,9584
6622,267,397,3098,195,937,3659,243,2934,648752,Jupyter Notebook,True,True,True,False,False,9583
689,79,13,627,2,23,93,4,26,35270,Go,True,True,True,False,False,9581
842,177,72,5533,10,10,1008,2,193,34383,C++,True,True,True,True,True,9581
774,158,73,2077,18,292,608,21,298,5528,C,True,True,True,True,True,9578
1074,116,54,4988,327,60,3771,21,3030,142100,TypeScript,True,False,True,False,False,9578
2524,293,52,851,5,34,1125,1,165,25261,JavaScript,True,True,True,True,True,9577
588,187,43,232,1,0,91,0,91,355,JavaScript,False,False,True,False,True,9572
768,93,328,3635,7,43,2556,3,1247,41761,JavaScript,True,True,True,False,True,9572
1328,121,1,4,1,10,2,1,2,10,,False,True,True,True,False,9571
1123,171,85,756,10,427,1092,38,308,37352,JavaScript,True,True,True,True,True,9571
1392,207,271,1867,18,207,1828,25,874,3531,Python,True,False,True,False,True,9566
853,147,140,1644,22,0,1357,0,507,9247,PHP,True,False,True,False,False,9565
